resp_id,timestamp,city,area,city_other,age_band,occupation,memberships,rapido_freq,ordered_4wk,n_swiggy,n_zomato,n_ownly,n_other,last_app,last_amount,last_people,bill_fairness,tradeoff_eta,tradeoff_rel,tradeoff_rest,switch_savings,prop_P_intent,prop_Q_intent,prop_forced,prop_reason,repeat_no_promo,durability_doubt,rapido_food_seen,ownly_status,ownly_trigger,ownly_heard_where,not_opened_reason,stopped_ordering,first_order_when,prev_4wk_orders,counterfactual,ownly_loss_feel,ownly_less_reason,ownly_change,prop_P_intent_n,prop_Q_intent_n,repeat_no_promo_n,durability_doubt_n,switch_savings_rs,switch_never,switch_dk,eta_chose_cheap,rel_chose_cheap,rest_chose_cheap,age_routed_out,age_eligible,age_band_ambiguous,in_catchment,is_gachibowli_proper,has_membership,n_memberships,ownly_stage,ownly_aware,ownly_opened,ownly_says_ordered,n_platforms_used,multihoming,total_orders_4wk,recent_orderer,ownly_order_conflict,ownly_lapsed_consistent,n_ownly_usable,ownly_recent_status,amount_flag,amount_pp,exclusion_reason,pop_HYD_ELIGIBLE,pop_HYD_CATCHMENT,pop_HYD_GACHIBOWLI,pop_HYD_RECENT_ORDERER,pop_BLR_ELIGIBLE,pop_OTHER
R065,2026-09-17 18:27:51.218,Hyderabad,Gachibowli,,25–29,Student (postgraduate / PhD),Swiggy One (any plan),Several times a week,Yes,9.0,0.0,0.0,2.0,Other,176.0,,"Yes, it felt fair","₹230 total, arrives in 45 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹260 total, has most of your usual restaurants",₹100 or more,Not sure,Probably,I genuinely can't choose between them,Both seem like good options ,Probably,Agree,No,I hadn't heard of Ownly,A promise of a quick refund if an order goes wrong,,,,,,,,,,3.0,4.0,4.0,4.0,100.0,False,False,True,False,False,False,True,False,True,True,True,1,0.0,False,False,False,2.0,True,11.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R066,2026-09-17 18:39:51.725,Hyderabad,Gachibowli,,20–24,Student (postgraduate / PhD),,About once a week,No,,,,,,,,,"₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹30,Probably,Probably,Service Q,"Local trust, money back guarantee ",Probably,Disagree,No,"I'd heard of it, but never opened it",,"Friends, classmates or colleagues",Just haven't got around to it,,,,,,,,4.0,4.0,4.0,2.0,30.0,False,False,True,True,True,False,True,False,True,True,False,0,1.0,True,False,False,,False,,False,False,False,,Not asked / not applicable,,,,True,True,True,False,False,False
R067,2026-09-17 20:50:06.262,Another city,,Another Indian city,20–24,Student (undergraduate),Swiggy One (any plan),,Yes,10.0,0.0,0.0,0.0,Swiggy,340.0,,"No, the extra charges on top were too much",,,,,,,,,,,No,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,True,1,,False,False,False,1.0,False,10.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,False,True
R068,2026-09-17 21:15:34.378,Another city,,Another Indian city,20–24,Student (undergraduate),,,No,,,,,,,,,,,,,,,,,,,Not sure,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,,False,False,False,False,False,True
R069,2026-09-17 21:17:12.937,Another city,,Another Indian city,20–24,Student (undergraduate),,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,,False,False,False,False,False,True
R070,2026-09-17 21:32:51.990,Another city,,Another Indian city,20–24,Student (undergraduate),"Swiggy One (any plan), Zomato Gold",,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,True,1,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,,False,False,False,False,False,True
R071,2026-09-17 21:42:39.670,Another city,,Another Indian city,20–24,Student (undergraduate),,,No,,,,,,,,,,,,,,,,,,,Not sure,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,,False,False,False,False,False,True
R073,2026-09-18 15:31:43.341,Bengaluru,Whitefield / Marathahalli / Bellandur / Sarjapur Road,,25–29,Working full-time,Swiggy One (any plan),About once a week,Yes,10.0,0.0,0.0,0.0,Swiggy,3000.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹10,Not sure,Probably not,Service P,,Not sure,Neither,Not sure,"I'd heard of it, but never opened it",,Don't remember,Just haven't got around to it,,,,,,,,3.0,2.0,3.0,3.0,10.0,False,False,True,True,True,False,True,False,False,False,True,1,1.0,True,False,False,1.0,False,10.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,True,False
R074,2026-09-18 15:39:17.986,Bengaluru,Whitefield / Marathahalli / Bellandur / Sarjapur Road,,30–35,Working full-time,Zomato Gold,About once a week,Yes,0.0,8.0,0.0,0.0,Zomato,1038.0,,"Yes, it felt fair","₹260 total, arrives in 30 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹100 or more,Not sure,Not sure,I genuinely can't choose between them,,Not sure,Neither,No,I hadn't heard of Ownly,"Nothing, I'm happy with how I order now",,,,,,,,,,3.0,3.0,3.0,3.0,100.0,False,False,False,True,False,False,True,False,False,False,True,1,0.0,False,False,False,1.0,False,8.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,True,False
R078,2026-09-18 15:45:02.758,Hyderabad,Narsingi / Kokapet,,20–24,Student (undergraduate),,Never,No,,,,,,,,,"₹260 total, arrives in 30 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants","No amount, price alone wouldn't make me switch",Probably,Probably,Service P,,Definitely,Strongly agree,I don't use the Rapido app,"I'd heard of it, but never opened it",,"Friends, classmates or colleagues",Just haven't got around to it,,,,,,,,4.0,4.0,5.0,5.0,,True,False,False,True,False,False,True,False,True,False,False,0,1.0,True,False,False,,False,,False,False,False,,Not asked / not applicable,,,,True,True,False,False,False,False
R080,2026-09-18 15:50:49.936,Hyderabad,Gachibowli,,20–24,Student (undergraduate),Zomato Gold,Never,Yes,2.0,1.0,0.0,0.0,Zomato,200.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹50,Probably,Probably,I genuinely can't choose between them,,Probably not,Agree,No,I hadn't heard of Ownly,Seeing it's cheaper than Swiggy/Zomato for the same order,,,,,,,,,,4.0,4.0,2.0,4.0,50.0,False,False,True,True,True,False,True,False,True,True,True,1,0.0,False,False,False,2.0,True,3.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R081,2026-09-18 15:51:04.473,Hyderabad,Gachibowli,,20–24,Student (undergraduate),,Never,Yes,0.0,20.0,0.0,0.0,Zomato,2500.0,,"No, the food itself was overpriced","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹10,Definitely not,Definitely not,I genuinely can't choose between them,,Definitely not,Strongly disagree,Yes,I hadn't heard of Ownly,A promise of a quick refund if an order goes wrong,,,,,,,,,,1.0,1.0,1.0,1.0,10.0,False,False,True,True,False,False,True,False,True,True,False,0,0.0,False,False,False,1.0,False,20.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R082,2026-09-18 15:51:18.191,Hyderabad,Gachibowli,,20–24,Student (undergraduate),"Swiggy One (any plan), Zomato Gold",1–3 times,Yes,4.0,3.0,0.0,0.0,Swiggy,1200.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹30,Definitely,Probably,Service P,Cheaper,Probably,Agree,Yes,"I'd heard of it, but never opened it",,Instagram / YouTube,I'm happy with my current app or membership,,,,,,,,5.0,4.0,4.0,4.0,30.0,False,False,True,True,False,False,True,False,True,True,True,1,1.0,True,False,False,2.0,True,7.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R083,2026-09-18 15:52:15.160,Hyderabad,Financial District / Nanakramguda,,20–24,Student (undergraduate),"Swiggy One (any plan), Zomato Gold",1–3 times,Yes,3.0,3.0,0.0,1.0,Zomato,299.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹30,Probably,Probably,I genuinely can't choose between them,,Not sure,Strongly agree,Yes,"I'd heard of it, but never opened it",,Inside the Rapido app,I'm happy with my current app or membership,,,,,,,,4.0,4.0,3.0,5.0,30.0,False,False,True,True,False,False,True,False,True,False,True,1,1.0,True,False,False,3.0,True,7.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,False,True,False,False
R084,2026-09-18 15:56:35.696,Hyderabad,Gachibowli,,20–24,Student (undergraduate),Zomato Gold,1–3 times,Yes,0.0,5.0,0.0,1.0,Zomato,3000.0,,"No, the food itself was overpriced","₹260 total, arrives in 30 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹75,Probably,Probably not,Service P,Cheaper,Probably not,Agree,Not sure,"I'd heard of it, but never opened it",,Inside the Rapido app,I'm happy with my current app or membership,,,,,,,,4.0,2.0,2.0,4.0,75.0,False,False,False,False,True,False,True,False,True,True,True,1,1.0,True,False,False,2.0,True,6.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R086,2026-09-18 15:58:03.994,Hyderabad,Gachibowli,,20–24,Student (undergraduate),"Swiggy One (any plan), Zomato Gold, Another food delivery membership",Never,Yes,11.0,3.0,0.0,4.0,Swiggy,206.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹20,Definitely,Probably,Service Q,It has more variety of restaurants and i would need that more often than not,Not sure,Agree,Yes,"I'd heard of it, but never opened it",,Instagram / YouTube,Just haven't got around to it,,,,,,,,5.0,4.0,3.0,4.0,20.0,False,False,True,True,True,False,True,False,True,True,True,1,1.0,True,False,False,3.0,True,18.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R088,2026-09-18 15:59:01.104,Hyderabad,Gachibowli,,20–24,Student (undergraduate),"Swiggy One (any plan), Zomato Gold",Never,Yes,2.0,3.0,0.0,1.0,Zomato,175.0,,"No, the food itself was overpriced","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹20,Probably,Probably,Service P,,Not sure,Strongly agree,I don't use the Rapido app,"I opened or browsed it, but didn't order",,,,It didn't deliver to my address,,,,,,,4.0,4.0,3.0,5.0,20.0,False,False,True,True,True,False,True,False,True,True,True,1,2.0,True,True,False,3.0,True,6.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R089,2026-09-18 15:59:01.575,Hyderabad,Gachibowli,,20–24,Student (undergraduate),Swiggy One (any plan),About once a week,Yes,5.0,2.0,0.0,6.0,Swiggy,404.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹260 total, has most of your usual restaurants",₹50,Definitely,Definitely,I genuinely can't choose between them,It depends on craving,Not sure,Strongly agree,No,I hadn't heard of Ownly,Seeing it's cheaper than Swiggy/Zomato for the same order,,,,,,,,,,5.0,5.0,3.0,5.0,50.0,False,False,True,False,False,False,True,False,True,True,True,1,0.0,False,False,False,3.0,True,13.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R092,2026-09-18 16:02:47.419,Hyderabad,Another part of Hyderabad,,30–35,Working full-time,"Swiggy One (any plan), Zomato Gold",1–3 times,Yes,1.0,2.0,0.0,0.0,Zomato,1000.0,,"Yes, it felt fair","₹230 total, arrives in 45 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹260 total, has most of your usual restaurants",Don't know,Probably,Probably,I genuinely can't choose between them,,Probably,Agree,No,I hadn't heard of Ownly,"Nothing, I'm happy with how I order now",,,,,,,,,,4.0,4.0,4.0,4.0,,False,True,True,False,False,False,True,False,False,False,True,1,0.0,False,False,False,2.0,True,3.0,True,False,False,0.0,Never ordered on Ownly,,,,True,False,False,True,False,False
R094,2026-09-18 16:03:52.314,Hyderabad,Another part of Hyderabad,,25–29,Working full-time,"Swiggy One (any plan), Zomato Gold",1–3 times,Yes,2.0,1.0,0.0,0.0,Zomato,820.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹10,Probably,Probably,Service P,Price difference in final order,Probably not,Strongly agree,Not sure,I hadn't heard of Ownly,Seeing it's cheaper than Swiggy/Zomato for the same order,,,,,,,,,,4.0,4.0,2.0,5.0,10.0,False,False,True,True,False,False,True,False,False,False,True,1,0.0,False,False,False,2.0,True,3.0,True,False,False,0.0,Never ordered on Ownly,,,,True,False,False,True,False,False
R095,2026-09-18 16:05:04.590,Hyderabad,Gachibowli,,20–24,Student (undergraduate),,Never,Yes,3.0,0.0,0.0,0.0,Swiggy,289.0,,I didn't really look at the breakdown,"₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹20,Probably,Not sure,Service P,,Probably not,Agree,I don't use the Rapido app,"I'd heard of it, but never opened it",,Don't remember,I'm happy with my current app or membership,,,,,,,,4.0,3.0,2.0,4.0,20.0,False,False,True,True,False,False,True,False,True,True,False,0,1.0,True,False,False,1.0,False,3.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R096,2026-09-18 16:09:17.008,Hyderabad,Gachibowli,,20–24,Student (undergraduate),"Swiggy One (any plan), Zomato Gold",About once a week,Yes,3.0,7.0,0.0,0.0,Zomato,,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹50,Probably,Probably,Service Q,,Probably not,Agree,No,I hadn't heard of Ownly,My usual restaurants being on it,,,,,,,,,,4.0,4.0,2.0,4.0,50.0,False,False,True,False,True,False,True,False,True,True,True,1,0.0,False,False,False,2.0,True,10.0,True,False,False,0.0,Never ordered on Ownly,amount_zero_implausible_voided,,,True,True,True,True,False,False
R097,2026-09-18 16:11:51.404,Hyderabad,Another part of Hyderabad,,30–35,Student (postgraduate / PhD),"Swiggy One (any plan), Zomato Gold",1–3 times,Yes,2.0,2.0,0.0,9.0,Swiggy,900.0,,"No, the extra charges on top were too much","₹260 total, arrives in 30 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹260 total, has most of your usual restaurants",Don't know,Probably,Probably,I genuinely can't choose between them,,Probably,Agree,No,I hadn't heard of Ownly,"Nothing, I'm happy with how I order now",,,,,,,,,,4.0,4.0,4.0,4.0,,False,True,False,False,False,False,True,False,False,False,True,1,0.0,False,False,False,3.0,True,13.0,True,False,False,0.0,Never ordered on Ownly,,,,True,False,False,True,False,False
R098,2026-09-18 16:16:58.510,Bengaluru,Hebbal / Yelahanka / North Bengaluru,,20–24,Working full-time,Zomato Gold,1–3 times,Yes,3.0,2.0,0.0,3.0,Zomato,600.0,,"No, the extra charges on top were too much","₹260 total, arrives in 30 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹30,Probably,Probably,Service Q,Reliability and repeat ability over discount or performance- although i strongly believe restaurants have enough margins to take the hit of delivery irrespective of the cost - so pricing and delivery should be optimal along with speed but if i had to prioritise for consumer will be availability and reliability.,Probably,Agree,Yes,"I'd heard of it, but never opened it",,"Friends, classmates or colleagues",I don't want another app on my phone,,,,,,,,4.0,4.0,4.0,4.0,30.0,False,False,False,True,False,False,True,False,False,False,True,1,1.0,True,False,False,3.0,True,8.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,True,False
R099,2026-09-18 16:17:13.590,Hyderabad,Gachibowli,,20–24,Student (undergraduate),"Swiggy One (any plan), Zomato Gold",Never,Yes,0.0,1.0,0.0,2.0,Zomato,330.0,,"Yes, it felt fair","₹230 total, arrives in 45 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹260 total, has most of your usual restaurants",Don't know,Not sure,Definitely,Service Q,,Probably,Agree,No,I hadn't heard of Ownly,A promise of a quick refund if an order goes wrong,,,,,,,,,,3.0,5.0,4.0,4.0,,False,True,True,False,False,False,True,False,True,True,True,1,0.0,False,False,False,2.0,True,3.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R100,2026-09-18 16:24:58.015,Another city,,Another Indian city,20–24,Student (undergraduate),"Swiggy One (any plan), Zomato Gold",,Yes,0.0,17.0,0.0,0.0,Zomato,330.0,,"No, the food itself was overpriced",,,,,,,,,,,No,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,True,1,,False,False,False,1.0,False,17.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,False,True
R102,2026-09-18 16:29:03.103,Another city,,Another Indian city,Under 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,,False,False,False,False,False,True
R103,2026-09-18 16:29:13.923,Bengaluru,Whitefield / Marathahalli / Bellandur / Sarjapur Road,,30–35,Working full-time,Zomato Gold,Never,Yes,0.0,4.0,0.0,2.0,Zomato,2500.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹100 or more,Probably,Definitely,Service Q,Actual delivery time and fair price ,Probably,Agree,Not sure,I hadn't heard of Ownly,Paying by cash on delivery or meal card (Pluxee / Zeta),,,,,,,,,,4.0,5.0,4.0,4.0,100.0,False,False,True,True,False,False,True,False,False,False,True,1,0.0,False,False,False,2.0,True,6.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,True,False
R104,2026-09-18 16:32:26.298,Hyderabad,Gachibowli,,25–29,Student (postgraduate / PhD),Swiggy One (any plan),Never,Yes,21.0,0.0,0.0,0.0,Swiggy,450.0,,"Yes, it felt fair","₹260 total, arrives in 30 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹260 total, has most of your usual restaurants","No amount, price alone wouldn't make me switch",Definitely not,Definitely,Service Q,"It isn’t just about price, it’s the logistics and the overall experience I have with booking, and customer support.",Definitely,Agree,I don't use the Rapido app,I hadn't heard of Ownly,"Nothing, I'm happy with how I order now",,,,,,,,,,1.0,5.0,5.0,4.0,,True,False,False,False,False,False,True,False,True,True,True,1,0.0,False,False,False,1.0,False,21.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R105,2026-09-18 16:32:56.391,Hyderabad,Another part of Hyderabad,,30–35,Working full-time,"Swiggy One (any plan), Zomato Gold",1–3 times,Yes,0.0,12.0,0.0,7.0,EatSure,250.0,,"No, the food itself was overpriced","₹260 total, arrives in 30 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹230 total, has only a few of your usual restaurants","No amount, price alone wouldn't make me switch",Definitely,Definitely,Service Q,"The food I like, not what's available",Probably,Strongly agree,No,"I'd heard of it, but never opened it",,Don't remember,Not sure it delivers to my area,,,,,,,,5.0,5.0,4.0,5.0,,True,False,False,False,True,False,True,False,False,False,True,1,1.0,True,False,False,2.0,True,19.0,True,False,False,0.0,Never ordered on Ownly,,,,True,False,False,True,False,False
R106,2026-09-18 16:34:45.276,Another city,,Another Indian city,18–24,Student (undergraduate),"Swiggy One (any plan), Zomato Gold",,Yes,18.0,11.0,0.0,0.0,Swiggy,275.0,,"Yes, it felt fair",,,,,,,,,,,No,,,,,,,,,,,,,,,,,False,False,,,,False,True,True,False,False,True,1,,False,False,False,2.0,True,29.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,False,True
R107,2026-09-18 16:35:07.519,Another city,,Mumbai,25–29,Working full-time,"Swiggy One (any plan), Zomato Gold",,Yes,1.0,2.0,0.0,0.0,Zomato,9842.0,,"Yes, it felt fair",,,,,,,,,,,No,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,True,1,,False,False,False,2.0,True,3.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,False,True
R110,2026-09-18 16:46:59.218,Bengaluru,Hebbal / Yelahanka / North Bengaluru,,18–24,Student (undergraduate),"Swiggy One (any plan), Zomato Gold",1–3 times,Yes,0.0,4.0,0.0,0.0,Zomato,152.0,,"Yes, it felt fair","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹30,Definitely not,Not sure,Service P,price,Probably,Agree,No,I've ordered on Ownly,,,,,1–3 months ago,2.0,Ordered the same on Swiggy or Zomato,Not disappointed,Offers ended,More offers and coupons,1.0,3.0,4.0,4.0,30.0,False,False,True,True,True,False,True,True,False,False,True,1,3.0,True,True,True,1.0,False,4.0,True,False,True,0.0,"Lapsed - ordered earlier, none in last 4 weeks",,,,False,False,False,False,True,False
R111,2026-09-18 16:48:45.776,Hyderabad,Another part of Hyderabad,,25–29,Looking for a job,"Swiggy One (any plan), Zomato Gold",1–3 times,Yes,5.0,2.0,0.0,0.0,Swiggy,800.0,,"Yes, it felt fair","₹260 total, arrives in 30 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹260 total, has most of your usual restaurants",₹100 or more,Definitely,Definitely,Service Q,May be better service and better information iam getting from Q,Probably,Strongly agree,No,I hadn't heard of Ownly,Seeing it's cheaper than Swiggy/Zomato for the same order,,,,,,,,,,5.0,5.0,4.0,5.0,100.0,False,False,False,False,False,False,True,False,False,False,True,1,0.0,False,False,False,2.0,True,7.0,True,False,False,0.0,Never ordered on Ownly,,,,True,False,False,True,False,False
R112,2026-09-18 17:05:24.228,Bengaluru,Another part of Bengaluru,,Under 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,,False,False,False,False,True,False
R113,2026-09-18 17:05:30.276,Bengaluru,Electronic City / Bommanahalli,,25–29,Studying and working (internship / part-time),"Swiggy One (any plan), Zomato Gold",About once a week,Yes,8.0,8.0,0.0,0.0,Swiggy,1500.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹100 or more,Definitely,Definitely,Service Q,Information is key,Probably,Strongly agree,No,"I'd heard of it, but never opened it",,"Friends, classmates or colleagues",Just haven't got around to it,,,,,,,,5.0,5.0,4.0,5.0,100.0,False,False,True,True,True,False,True,False,False,False,True,1,1.0,True,False,False,2.0,True,16.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,True,False
R114,2026-09-18 17:12:12.742,Hyderabad,Another part of Hyderabad,,18–24,Working full-time,"Swiggy One (any plan), Zomato Gold, Another food delivery membership",Several times a week,Yes,4.0,2.0,0.0,3.0,Swiggy,1500.0,,"Yes, it felt fair","₹230 total, arrives in 45 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹100 or more,Probably,Definitely,Service Q,The fact that all the restaurants I locally prefer are present in Q,Probably,Strongly agree,No,I hadn't heard of Ownly,My usual restaurants being on it,,,,,,,,,,4.0,5.0,4.0,5.0,100.0,False,False,True,False,True,False,True,True,False,False,True,1,0.0,False,False,False,3.0,True,9.0,True,False,False,0.0,Never ordered on Ownly,,,,True,False,False,True,False,False
R115,2026-09-18 17:21:55.021,Bengaluru,Whitefield / Marathahalli / Bellandur / Sarjapur Road,,25–29,Working full-time,Swiggy One (any plan),Several times a week,Yes,5.0,0.0,0.0,0.0,Swiggy,323.0,,"Yes, it felt fair","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹20,Definitely,Not sure,Service P,Not intrested in paying hidden fee,Not sure,Agree,Yes,"I'd heard of it, but never opened it",,Inside the Rapido app,I'm happy with my current app or membership,,,,,,,,5.0,3.0,3.0,4.0,20.0,False,False,True,True,True,False,True,False,False,False,True,1,1.0,True,False,False,1.0,False,5.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,True,False
R116,2026-09-18 17:23:21.577,Bengaluru,Indiranagar / Domlur / Old Airport Road,,18–24,Working full-time,"Swiggy One (any plan), Another food delivery membership",About once a week,Yes,1.0,0.0,0.0,0.0,Swiggy,350.0,,"No, the food itself was overpriced","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants","No amount, price alone wouldn't make me switch",Probably,Not sure,I genuinely can't choose between them,,Definitely not,Strongly agree,Yes,I've ordered on Ownly,,,,,1–3 months ago,0.0,Skipped it or had a snack,Not disappointed,Went back to my Swiggy One / Zomato Gold membership,A bigger price gap vs other apps,4.0,3.0,1.0,5.0,,True,False,True,True,True,False,True,True,False,False,True,1,3.0,True,True,True,1.0,False,1.0,True,False,False,0.0,"Says ordered, reports 0 recent (unexplained)",,,,False,False,False,False,True,False
R118,2026-09-18 17:38:36.803,Bengaluru,Jayanagar / JP Nagar / Banashankari,,30–35,Working full-time,"Swiggy One (any plan), Zomato Gold",Never,Yes,1.0,5.0,0.0,1.0,Zomato,758.0,,"Yes, it felt fair","₹260 total, arrives in 30 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹100 or more,Definitely,Probably,Service Q,I also look in for quality of food,Probably,Agree,I don't use the Rapido app,I hadn't heard of Ownly,My usual restaurants being on it,,,,,,,,,,5.0,4.0,4.0,4.0,100.0,False,False,False,False,True,False,True,False,False,False,True,1,0.0,False,False,False,3.0,True,7.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,True,False
R119,2026-09-18 17:45:42.207,Another city,,Another Indian city,18–24,Student (postgraduate / PhD),,1-3 times,Yes,4.0,2.0,7.0,0.0,Swiggy,700.0,,"No, the extra charges on top were too much",,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,False,False,,,,False,True,True,False,False,False,0,,False,False,False,3.0,True,13.0,True,False,False,7.0,Never ordered on Ownly,,,,False,False,False,False,False,True
R120,2026-09-18 18:58:04.585,Hyderabad,Another part of Hyderabad,,25–29,Looking for a job,"Swiggy One (any plan), Zomato Gold",1–3 times,Yes,4.0,5.0,0.0,0.0,Swiggy,111.0,,"Yes, it felt fair","₹260 total, arrives in 30 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹230 total, has only a few of your usual restaurants",Don't know,Definitely,Definitely,Service Q,,Probably,Disagree,Not sure,"I'd heard of it, but never opened it",,"Friends, classmates or colleagues",Just haven't got around to it,,,,,,,,5.0,5.0,4.0,2.0,,False,True,False,False,True,False,True,False,False,False,True,1,1.0,True,False,False,2.0,True,9.0,True,False,False,0.0,Never ordered on Ownly,,,,True,False,False,True,False,False
